"Date","GSPC","N225","FTSE","FCHI","GDAXI","SSE","BSE","HSI","TWII","MOEX"
2020-06-03,3122.8701171875,22613.759765625,6382.39990234375,5022.3798828125,12487.3603515625,2923.37109375,34109.5390625,24325.619140625,11320.16015625,2831.080078125
2020-06-04,3112.35009765625,22695.740234375,6341.39990234375,5011.97998046875,12430.5595703125,2919.2509765625,33980.69921875,24366.30078125,11393.23046875,2766.26000976562
2020-06-05,3193.92993164062,22863.73046875,6484.2998046875,5197.7900390625,12847.6796875,2930.79907226562,34287.23828125,24770.41015625,11479.400390625,2792.73999023438
2020-06-08,3232.38989257812,23178.099609375,6472.60009765625,5175.52001953125,12819.58984375,2937.77099609375,34370.578125,24776.76953125,11610.3203125,2796.30004882812
2020-06-09,3207.17993164062,23091.029296875,6335.7001953125,5095.10986328125,12617.990234375,2956.11206054688,33956.69140625,25057.220703125,11637.1103515625,2795.89990234375
2020-06-10,3190.13989257812,23124.94921875,6329.10009765625,5053.419921875,12530.16015625,2943.7529296875,34247.05078125,25049.73046875,11720.16015625,2785.17993164062
2020-06-11,3002.10009765625,22472.91015625,6076.7001953125,4815.60009765625,11970.2900390625,2920.89697265625,33538.37109375,24480.150390625,11535.76953125,2743.80004882812
2020-06-12,3041.31005859375,22305.48046875,6105.2001953125,4839.259765625,11949.2802734375,2919.74096679688,33780.890625,24301.380859375,11429.9404296875,2731.43005371094
2020-06-15,3066.59008789062,21530.94921875,6064.7001953125,4815.72021484375,11911.349609375,2890.03002929688,33228.80078125,23776.94921875,11306.259765625,2719.06005859375
2020-06-16,3124.73999023438,22582.2109375,6242.7998046875,4952.4599609375,12315.66015625,2931.75,33605.21875,24344.08984375,11511.6396484375,2748.30004882812
2020-06-17,3113.48999023438,22455.759765625,6253.2998046875,4995.97021484375,12382.1396484375,2935.8701171875,33507.921875,24481.41015625,11534.58984375,2740.10009765625
2020-06-18,3115.34008789062,22355.4609375,6224.10009765625,4958.75,12281.5302734375,2939.32006835938,34208.05078125,24464.939453125,11548.330078125,2724.330078125
2020-06-19,3097.73999023438,22478.7890625,6292.60009765625,4979.4501953125,12330.759765625,2967.6298828125,34731.73046875,24643.890625,11549.8603515625,2758.669921875
2020-06-22,3117.86010742188,22437.26953125,6244.60009765625,4948.7001953125,12262.9697265625,2965.27197265625,34911.3203125,24511.33984375,11572.9296875,2763.2900390625
2020-06-23,3131.2900390625,22549.05078125,6320.10009765625,5017.68017578125,12523.759765625,2970.6201171875,35430.4296875,24907.33984375,11612.3603515625,2791.96997070312
2020-06-24,3050.330078125,22534.3203125,6123.7001953125,4871.35986328125,12093.9404296875,2979.55102539062,34868.98046875,24781.580078125,11660.669921875,2776.35998535156
2020-06-25,3083.76000976562,22259.7890625,6147.10009765625,4918.580078125,12177.8701171875,2973.53938802083,34842.1015625,24665.78515625,11621.3199869792,2760.75
2020-06-26,3009.05004882812,22512.080078125,6159.2998046875,4909.64013671875,12089.3896484375,2967.52775065104,35171.26953125,24549.990234375,11581.9700520833,2761.73999023438
